date,cz_retence_orders,cz_retence_revenue_with_vat,cz_zbytek_orders,cz_zbytek_revenue_with_vat,cz_total_orders,cz_total_revenue_with_vat,sk_retence_orders,sk_retence_revenue_with_vat,sk_zbytek_orders,sk_zbytek_revenue_with_vat,sk_total_orders,sk_total_revenue_with_vat,total_orders,total_revenue_with_vat,total_revenue_without_stores_with_vat
2026-06-02,342,531455.0,12,17371.0,354,548826.0,42,71342.40000000001,0,0.0,42,71342.40000000001,396,620168.4,620168.4
2026-06-03,358,526123.0,14,23112.0,372,549235.0,32,62073.33000000001,5,3303.7599999999998,37,65377.09000000001,409,614612.09,614612.09
2026-06-04,255,423582.71,17,23798.68,272,447381.39,30,66365.65000000001,3,3678.7200000000003,33,70044.37000000001,305,517425.76,517425.76
2026-06-05,248,375600.7,9,9766.0,257,385366.7,23,39081.99,1,6593.89,24,45675.88,281,431042.58,431042.58
2026-06-06,150,230586.0,6,8069.0,156,238655.0,19,32091.32,3,4008.69,22,36100.01,178,274755.01,274755.01
2026-06-07,427,617085.0,19,17110.71,446,634195.71,55,87259.90000000001,1,1300.78,56,88560.68000000001,502,722756.39,722756.39
2026-06-08,196,335095.54000000004,9,17604.0,205,352699.54000000004,21,44840.03,0,0.0,21,44840.03,226,397539.57000000007,397539.57000000007
2026-06-09,251,464579.0,6,6970.0,257,471549.0,29,72954.07,1,278.15,30,73232.22,287,544781.22,544781.22
2026-06-10,277,509866.4,10,9869.0,287,519735.4,23,43269.29999999999,0,0.0,23,43269.29999999999,310,563004.7,563004.7
2026-06-11,278,464844.44,16,15160.0,294,480004.44,27,70430.22,0,0.0,27,70430.22,321,550434.66,550434.66
2026-06-12,277,446607.07,9,14379.0,286,460986.07,30,73780.36,1,632.66,31,74413.02,317,535399.09,535399.09
2026-06-13,158,267120.0,7,8952.0,165,276072.0,5,12347.86,0,0.0,5,12347.86,170,288419.86,288419.86
2026-06-14,280,458855.17000000004,14,16247.0,294,475102.17000000004,24,68754.48000000001,0,0.0,24,68754.48000000001,318,543856.65,543856.65
2026-06-15,334,571224.59,15,19279.47,349,590504.0599999999,35,68481.78000000001,0,0.0,35,68481.78000000001,384,658985.84,658985.84
2026-06-16,299,466704.0,20,23166.0,319,489870.0,35,95964.49000000002,1,1581.66,36,97546.15000000002,355,587416.15,587416.15
2026-06-17,254,439914.28,14,13964.0,268,453878.28,34,77967.66,1,820.83,35,78788.49,303,532666.77,532666.77
2026-06-18,122,207637.0,4,2058.0,126,209695.0,14,33878.89,1,2324.77,15,36203.659999999996,141,245898.66,245898.66
