date,cz_retence_orders,cz_retence_revenue_with_vat,cz_zbytek_orders,cz_zbytek_revenue_with_vat,cz_total_orders,cz_total_revenue_with_vat,sk_retence_orders,sk_retence_revenue_with_vat,sk_zbytek_orders,sk_zbytek_revenue_with_vat,sk_total_orders,sk_total_revenue_with_vat,total_orders,total_revenue_with_vat
2025-01-01,8,10648.0,247,317752.0,255,328400.0,0,0.0,35,50022.72,35,50022.72,290,378422.72
2025-01-02,13,15925.0,336,430334.79000000004,349,446259.79000000004,0,0.0,48,69306.69000000002,48,69306.69000000002,397,515566.48000000004
2025-01-03,15,23157.0,362,454716.0,377,477873.0,1,575.4,50,71373.78000000001,51,71949.18000000001,428,549822.18
2025-01-04,11,12830.0,254,343058.32,265,355888.32,2,3101.96,27,35347.38999999999,29,38449.34999999999,294,394337.67
2025-01-05,15,12976.0,360,504350.0,375,517326.0,4,4824.05,46,64837.16999999999,50,69661.21999999999,425,586987.22
2025-01-06,32,36944.0,493,611859.41,525,648803.41,9,10794.84,57,78053.55,66,88848.39,591,737651.8
2025-01-07,45,53407.58,632,858823.0,677,912230.58,8,9264.980000000001,70,108320.50000000001,78,117585.48000000001,755,1029816.0599999999
2025-01-08,22,26900.0,316,452835.21,338,479735.21,6,10713.02,49,107816.01000000001,55,118529.03000000001,393,598264.24
2025-01-09,25,38099.0,271,403340.59,296,441439.59,8,14637.170000000002,32,68165.48000000001,40,82802.65000000001,336,524242.24000000005
2025-01-10,34,44180.0,277,453702.32,311,497882.32,4,4333.21,23,42189.41,27,46522.62,338,544404.9400000001
2025-01-11,11,20979.0,189,292978.83,200,313957.83,3,4468.1900000000005,18,27065.470000000005,21,31533.660000000003,221,345491.49
2025-01-12,33,60029.66,265,401056.17,298,461085.82999999996,3,6370.27,30,39024.74,33,45395.009999999995,331,506480.83999999997
2025-01-13,40,51185.82,380,619131.56,420,670317.38,10,12732.36,44,83840.23999999998,54,96572.59999999998,474,766889.98
2025-01-14,63,87574.0,418,642496.0,481,730070.0,12,20297.06,51,94085.58999999997,63,114382.64999999997,544,844452.6499999999
2025-01-15,49,71851.65,409,670471.86,458,742323.51,17,30217.900000000005,46,94465.95999999998,63,124683.85999999999,521,867007.37
2025-01-16,56,77634.4,346,542932.73,402,620567.13,15,30389.679999999997,34,56386.19000000001,49,86775.87000000001,451,707343.0
2025-01-17,63,85885.92,209,347325.0,272,433210.92,18,26776.420000000002,26,43753.35999999999,44,70529.78,316,503740.69999999995
2025-01-18,38,58486.689999999995,188,291636.02,226,350122.71,10,18150.910000000003,21,43008.86000000001,31,61159.77000000001,257,411282.48000000004
2025-01-19,68,92987.33,270,420746.45,338,513733.78,10,21231.059999999998,18,32245.409999999996,28,53476.469999999994,366,567210.25
2025-01-20,93,131076.85,325,539019.23,418,670096.08,22,47014.86,37,65867.99,59,112882.85,477,782978.9299999999
2025-01-21,73,107057.56,321,497496.88,394,604554.44,11,24773.440000000002,24,44848.26,35,69621.70000000001,429,674176.1399999999
2025-01-22,64,98745.45,282,434367.0,346,533112.45,20,43738.350000000006,33,64151.28999999999,53,107889.64,399,641002.09
2025-01-23,72,113408.0,234,384951.99,306,498359.99,10,17527.789999999997,28,45819.04999999999,38,63346.83999999998,344,561706.83
2025-01-24,50,81788.51999999999,156,252553.65,206,334342.17,11,23003.61,12,24447.550000000003,23,47451.16,229,381793.32999999996
2025-01-25,42,63996.97,150,241668.63,192,305665.6,2,5040.860000000001,8,11423.4,10,16464.260000000002,202,322129.86
2025-01-26,73,114007.79000000001,217,341597.0,290,455604.79000000004,16,32610.81,17,26607.309999999998,33,59218.119999999995,323,514822.91000000003
2025-01-27,97,143416.81,263,399372.97,360,542789.78,23,36344.060000000005,33,65229.87000000001,56,101573.93000000002,416,644363.7100000001
2025-01-28,94,154994.09,267,434644.89,361,589638.98,17,34774.71,37,61800.639999999985,54,96575.34999999998,415,686214.33
2025-01-29,101,169892.66999999998,251,401128.39,352,571021.06,21,37867.12,27,47485.23999999999,48,85352.35999999999,400,656373.42
2025-01-30,79,127743.36,212,333696.63,291,461439.99,22,40431.869999999995,12,23959.43,34,64391.299999999996,325,525831.29
2025-01-31,101,161963.16,247,367580.0,348,529543.16,29,50923.99,39,64250.859999999986,68,115174.84999999998,416,644718.01
2025-02-01,164,243702.34,221,310577.7,385,554280.04,33,60649.869999999995,13,19556.670000000002,46,80206.54,431,634486.5800000001
2025-02-02,186,283158.19,318,434775.0,504,717933.19,24,41314.05,19,26820.05,43,68134.1,547,786067.2899999999
2025-02-03,181,230579.22999999998,351,477700.0,532,708279.23,44,68254.06999999999,43,67385.55,87,135639.62,619,843918.85
2025-02-04,179,244402.3,257,390883.0,436,635285.3,32,40545.049999999996,30,48152.030000000006,62,88697.08,498,723982.38
2025-02-05,193,276711.0,296,399913.83,489,676624.8300000001,48,82004.98999999996,34,57860.1,82,139865.08999999997,571,816489.92
2025-02-06,183,266619.0,278,387787.0,461,654406.0,45,75826.98,38,51759.810000000005,83,127586.79000000001,544,781992.79
2025-02-07,260,365411.81,395,535586.74,655,900998.55,49,71289.22000000002,58,88360.26,107,159649.48,762,1060648.03
2025-02-08,57,100519.82,111,184877.0,168,285396.82,3,4866.33,8,14249.94,11,19116.27,179,304513.09
2025-02-09,94,148110.0,135,205121.0,229,353231.0,10,22879.52,19,37043.579999999994,29,59923.09999999999,258,413154.1
2025-02-10,145,217860.02000000002,251,371378.0,396,589238.02,19,39471.97,19,30061.07,38,69533.04000000001,434,658771.06
2025-02-11,182,289066.3,241,358807.48,423,647873.78,26,42152.59000000001,19,41680.83,45,83833.42000000001,468,731707.2000000001
2025-02-12,182,301264.57999999996,328,469603.51,510,770868.09,31,62077.42,24,45835.409999999996,55,107912.82999999999,565,878780.9199999999
2025-02-13,196,287498.73,282,410583.0,478,698081.73,31,61495.219999999994,26,40869.530000000006,57,102364.75,535,800446.48
2025-02-14,186,293735.0,252,378778.0,438,672513.0,40,90252.80999999998,18,34049.33,58,124302.13999999998,496,796815.14
2025-02-15,83,130993.0,144,196673.0,227,327666.0,14,23062.219999999998,9,11137.079999999998,23,34199.299999999996,250,361865.3
2025-02-16,177,271557.0,253,379340.18,430,650897.1799999999,11,16243.380000000001,15,22398.229999999996,26,38641.61,456,689538.7899999999
2025-02-17,176,284562.0,228,346141.86,404,630703.86,39,81009.61000000004,31,55291.27,70,136300.88000000003,474,767004.74
2025-02-18,180,263206.0,201,308522.0,381,571728.0,23,36848.590000000004,21,36086.39,44,72934.98000000001,425,644662.98
2025-02-19,154,242193.0,213,306980.0,367,549173.0,18,40587.28999999999,13,19180.339999999997,31,59767.62999999999,398,608940.63
2025-02-20,130,211818.3,209,289874.53,339,501692.83,26,47430.74,17,38167.09,43,85597.82999999999,382,587290.66
2025-02-21,109,174905.62,158,211096.0,267,386001.62,14,24187.14,11,18277.700000000004,25,42464.840000000004,292,428466.46
2025-02-22,77,109291.0,107,148378.5,184,257669.5,13,29725.65,8,17096.93,21,46822.58,205,304492.08
2025-02-23,132,203074.66,170,240979.0,302,444053.66000000003,24,46423.1,14,22300.03,38,68723.13,340,512776.79000000004
2025-02-24,181,303888.86,205,277145.76,386,581034.62,28,53186.03,10,18415.43,38,71601.45999999999,424,652636.08
2025-02-25,200,325113.37,263,364448.0,463,689561.37,25,35067.850000000006,21,34207.469999999994,46,69275.32,509,758836.69
2025-02-26,244,380353.38000000006,250,334739.0,494,715092.3800000001,36,67253.26000000002,17,36244.560000000005,53,103497.82000000004,547,818590.2000000002
2025-02-27,262,434406.5,331,420989.0,593,855395.5,37,60074.45,23,41806.28,60,101880.73,653,957276.23
2025-02-28,166,272629.83999999997,281,338958.25,447,611588.09,33,57419.71,31,43884.24000000001,64,101303.95000000001,511,712892.04
2025-03-01,141,194708.99,131,158526.0,272,353234.99,16,32364.040000000005,17,26844.58,33,59208.62000000001,305,412443.61
2025-03-02,159,219429.61,140,182941.0,299,402370.61,32,49771.87,14,22051.88,46,71823.75,345,474194.36
2025-03-03,290,415287.33,174,235042.76,464,650330.0900000001,41,73950.78000000001,21,33352.58,62,107303.36000000002,526,757633.4500000001
2025-03-04,262,389163.9,214,280543.0,476,669706.9,41,68461.31999999998,28,42381.649999999994,69,110842.96999999997,545,780549.87
2025-03-05,367,467574.32000000007,278,350091.0,645,817665.3200000001,62,91621.72000000004,29,42933.909999999996,91,134555.63000000003,736,952220.9500000001
2025-03-06,164,269346.0,135,217493.0,299,486839.0,22,46840.31,9,17965.48,31,64805.78999999999,330,551644.79
2025-03-07,149,258465.36,97,145489.0,246,403954.36,18,41089.08,8,13906.33,26,54995.41,272,458949.77
2025-03-08,108,193595.0,76,106062.0,184,299657.0,15,29781.559999999994,7,9650.86,22,39432.42,206,339089.42
2025-03-09,439,762288.67,423,627705.0,862,1389993.67,53,117424.63000000002,28,48533.80000000001,81,165958.43000000002,943,1555952.0999999999
2025-03-10,153,216080.0,169,238288.0,322,454368.0,23,39223.80000000001,11,12932.799999999997,34,52156.600000000006,356,506524.6
2025-03-11,189,287109.37,142,197006.0,331,484115.37,16,27350.47,11,14442.189999999999,27,41792.66,358,525908.03
2025-03-12,182,282756.0,286,343214.0,468,625970.0,26,46188.579999999994,12,15822.04,38,62010.619999999995,506,687980.62
2025-03-13,156,237985.0,229,318305.0,385,556290.0,22,48421.98,13,20187.979999999996,35,68609.95999999999,420,624899.96
2025-03-14,153,270916.0,171,232503.0,324,503419.0,24,51247.16999999999,9,15074.859999999999,33,66322.02999999998,357,569741.03
2025-03-15,98,145116.0,112,137882.0,210,282998.0,17,31462.770000000004,6,16817.41,23,48280.18000000001,233,331278.18
2025-03-16,147,246727.0,159,211550.0,306,458277.0,25,47009.40000000001,7,10572.580000000002,32,57581.98000000001,338,515858.98
2025-03-17,184,290322.0,176,251446.96,360,541768.96,25,38154.840000000004,17,26131.479999999992,42,64286.31999999999,402,606055.2799999999
2025-03-18,190,296294.7,176,240803.07,366,537097.77,32,65231.229999999996,15,25301.1,47,90532.32999999999,413,627630.1
